OLATHE KS 196                 ,1115 W DENNIS AVE             ,OLATHE              ,KS,66061-5229,38.8686051,-94.8355937
VINITA OK 197                 ,326 EAST ILLINOIS AVENUE      ,VINITA              ,OK,74301-3236,36.6357,-95.1462
FT SCOTT KS 198               ,2207 SOUTH MAIN               ,FORT SCOTT          ,KS,66701-3023,37.8146481,-94.7050083
ATCHISON KS 199               ,819 MAIN                      ,ATCHISON            ,KS,66002-2710,39.7908,-95.0896
CHILLICOTHE MO 200            ,201 SOUTH WASHINGTON          ,CHILLICOTHE         ,MO,64601-3031,39.7898,-93.54596111
MARSHALL MO 201               ,857 SOUTH ODELL               ,MARSHALL            ,MO,65340-2601,39.12991195,-93.19441467
KANSAS CITY MO 202            ,4600 NE VIVION ROAD           ,KANSAS CITY         ,MO,64119-2860,39.188,-94.52525
EMPORIA KS 203                ,2020 WEST 6TH AVENUE          ,EMPORIA             ,KS,66801-6463,38.4049,-96.2079
MANHATTAN KS 204              ,700 FORT RILEY BOULEVARD      ,MANHATTAN           ,KS,66502-6302,39.1744,-96.5669
PAOLA KS 205                  ,709 BAPTISTE                  ,PAOLA               ,KS,66071-1336,38.5764,-94.86839745
MARYVILLE MO 206              ,1516 SOUTH MAIN               ,MARYVILLE           ,MO,64468-2610,40.2696,-94.6915
CAMERON MO 207                ,119 EAST GRAND                ,CAMERON             ,MO,64429-1304,39.347,-94.22291884
JUNCTION CITY KS 208          ,134 EAST SIXTH STREET         ,JUNCTION CITY       ,KS,66441-2938,39.0285522,-96.8280715
NORMAN OK 209                 ,2113 WEST LINDSEY STREET      ,NORMAN              ,OK,73069-4107,35.2044042,-97.4801768
ST JOSEPH MO 210              ,913 SOUTH BELT                ,ST JOSEPH           ,MO,64507-2114,39.5,-94.6311
MOORE OK 211                  ,609 NE 12TH STREET            ,MOORE               ,OK,73160-5847,35.3491468,-97.4787627
TOPEKA KS 212                 ,2950 SE CALIFORNIA AVE        ,TOPEKA              ,KS,66605-2467,39.0134284,-95.6512391
KINGFISHER OK 213             ,1301 SOUTH MAIN STREET        ,KINGFISHER          ,OK,73750-4402,35.84768519,-97.9328
EL RENO OK 214                ,1101 S ROCK ISLAND AVENUE     ,EL RENO             ,OK,73036-4758,35.5239,-97.9524
OKLAHOMA CITY OK 215          ,1100 NORTH ROCKWELL           ,OKLAHOMA CITY       ,OK,73127-4220,35.6626119,-97.6408966
SHAWNEE OK 216                ,1501 NORTH HARRISON ST        ,SHAWNEE             ,OK,74804-4020,35.3471,-96.9121
BROOKFIELD MO 217             ,200 SOUTH MAIN                ,BROOKFIELD          ,MO,64628-2158,40.0268,-93.3145
GUTHRIE OK 218                ,109 WEST SPRINGER             ,GUTHRIE             ,OK,73044-4721,35.8745425,-97.4369483
BARTLESVILLE OK 219           ,4013 SE NOWATA ROAD           ,BARTLESVILLE        ,OK,74006-5118,36.728,-95.9017
MIDWEST CITY OK 220           ,1109 S AIR DEPOT ROAD         ,MIDWEST CITY        ,OK,73110-4805,35.4554896,-97.4056346
LEE'S SUMMIT MO 221           ,316 SE M-291 HWY              ,LEE'S SUMMIT        ,MO,64063-2913,38.912,-94.3516
CHICKASHA OK 222              ,1520 SOUTH 4TH STREET         ,CHICKASHA           ,OK,73018-5801,35.03569206,-97.9363
MACON MO 223                  ,1410 N MISSOURI STREET        ,MACON               ,MO,63552-1930,39.75091227,-92.4679
WICHITA KS 224                ,2219 SOUTH SENECA             ,WICHITA             ,KS,67213-4224,37.8425,-97.3528
WICHITA KS 225                ,4635 SOUTH BROADWAY           ,WICHITA             ,KS,67216-1737,37.6825,-96.9623
WICHITA KS 226                ,4850 E 13TH STREET NORTH      ,WICHITA             ,KS,67208-2853,37.7086,-97.27998776
WICHITA KS 227                ,544 NORTH TYLER               ,WICHITA             ,KS,67212-3633,37.7545,-97.4447
WICHITA KS 228                ,4130 WEST CENTRAL AVENUE      ,WICHITA             ,KS,67212-2115,37.6935559,-97.1524975
GAINESVILLE MO 229            ,60 1ST ST                     ,GAINESVILLE         ,MO,65655-7412,36.6016,-92.4309
MCALESTER OK 230              ,502 E CARL ALBERT PARKWAY     ,MCALESTER           ,OK,74501-5048,34.93181782,-95.76436804
SEMINOLE OK 231               ,700 NORTH MILT PHILLIPS       ,SEMINOLE            ,OK,74868-2314,35.2287,-96.671
KANSAS CITY KS 232            ,7905 STATE AVENUE             ,KANSAS CITY         ,KS,66112-2418,39.1162,-94.76406667
TULSA OK 233                  ,8214 EAST 91ST STREET         ,TULSA               ,OK,74133-5676,36.03162868,-95.8850924
MIDWEST CITY OK 234           ,10108 NE 23RD STREET          ,NICOMA PARK         ,OK,73141-5210,35.4925038,-97.3512897
ST JOSEPH MO 235              ,1511 ST JOSEPH AVENUE         ,ST JOSEPH           ,MO,64505-2631,39.77724568,-94.85527148
ROGERS AR 236                 ,2820 WEST WALNUT              ,ROGERS              ,AR,72756-0335,36.3882,-93.9064
WINFIELD KS 237               ,2010 MAIN STREET              ,WINFIELD            ,KS,67156-5402,37.2289364,-96.9963929
KANSAS CITY MO 238            ,10610 S BLUE RIDGE BLVD       ,KANSAS CITY         ,MO,64134-1928,39.1091559,-94.4798962
ANADARKO OK 239               ,102 WEST CENTRAL              ,ANADARKO            ,OK,73005-3424,34.8236,-98.2432
TRENTON MO 240                ,1855 EAST 9TH STREET          ,TRENTON             ,MO,64683-2643,40.0743,-93.599425
PAUL'S VALLEY OK 241          ,702 WEST GRANT                ,PAULS VALLEY        ,OK,73075-2813,34.7394,-97.2544
AUGUSTA KS 242                ,335 WEST 7TH STREET           ,AUGUSTA             ,KS,67010-1307,37.5128,-97.01442488
CLINTON OK 243                ,913 W GARY BLVD               ,CLINTON             ,OK,73601-2721,35.5156,-98.97094694
WEATHERFORD OK 244            ,1001 EAST MAIN                ,WEATHERFORD         ,OK,73096-5743,35.5261,-98.69614576
SILOAM SPRINGS AR 245         ,1113 US HWY 412W              ,SILOAM SPRINGS      ,AR,72761-4551,36.1688,-94.4549
CUSHING OK 246                ,1143 EAST MAIN                ,CUSHING             ,OK,74023-2841,35.9848,-96.75555714
SEDALIA MO 247                ,3203 SOUTH LIMIT              ,SEDALIA             ,MO,65301-8540,38.67269973,-93.2515
NORMAN OK 248                 ,131 12TH AVENUE NORTHEAST     ,NORMAN              ,OK,73071-5236,35.2192359,-97.4230715
DERBY KS 249                  ,955 NORTH K-15                ,DERBY               ,KS,67037-1832,37.5718,-97.2172
MUSKOGEE OK 250               ,220 NORTH 32ND STREET         ,MUSKOGEE            ,OK,74401-2103,35.75622449,-95.4025
WICHITA KS 251                ,714 WEST 21ST STREET          ,WICHITA             ,KS,67203-2442,37.7234618,-97.1525991
CHECOTAH OK 252               ,902 W GENTRY AVE              ,CHECOTAH            ,OK,74426-2027,35.47154611,-95.52933056
EUFAULA OK 253                ,314 S MAIN ST                 ,EUFAULA             ,OK,74432-3254,35.28425714,-95.5828
WILBURTON OK 254              ,626 HWY 2 NORTH               ,WILBURTON           ,OK,74578-3628,34.9184,-95.3179
EL DORADO KS 255              ,1816 WEST CENTRAL             ,EL DORADO           ,KS,67042-2263,37.8176,-96.87358696
ARKANSAS CITY KS 256          ,1611 NORTH SUMMIT             ,ARKANSAS CITY       ,KS,67005-3918,37.0652,-96.9957
KANSAS CITY KS 257            ,4615 SHAWNEE DRIVE            ,KANSAS CITY         ,KS,66106-3648,39.05082635,-94.68415077
PONCA CITY OK 258             ,3019 NORTH 14TH STREET        ,PONCA CITY          ,OK,74601-1030,36.73884898,-97.0671
SPRINGFIELD MO 259            ,3038 WEST REPUBLIC ROAD       ,SPRINGFIELD         ,MO,65807-3924,37.1447481,-93.4289062
ST JOSEPH MO 260              ,5820 LAKE AVENUE              ,ST JOSEPH           ,MO,64504-1447,39.71571244,-94.86940617
KIRKSVILLE MO 261             ,501 N BALTIMORE STREET        ,KIRKSVILLE          ,MO,63501-3213,40.1982,-92.572
NEBRASKA CITY NE 262          ,603 SOUTH 11TH STREET         ,NEBRASKA CITY       ,NE,68410-2750,40.6717149,-95.8584002
WELLINGTON KS 263             ,621 NORTH G STREET            ,WELLINGTON          ,KS,67152-4149,37.27090408,-97.4019
BONNER SPRINGS KS 264         ,735 EAST FRONT STREET         ,BONNER SPRINGS      ,KS,66012-1123,39.10609764,-95.07933624
ADA OK 265                    ,510 N MISSISSIPPI AVENUE      ,ADA                 ,OK,74820-5259,34.77885385,-96.6697
LAWTON OK 266                 ,6404 NW CACHE ROAD            ,LAWTON              ,OK,73505-3307,34.6215239,-98.5037668
BLACKWELL OK 267              ,825 WEST DOOLIN AVENUE        ,BLACKWELL           ,OK,74631-1314,36.81148401,-97.2950119
WICHITA KS 268                ,4818 EAST LINCOLN             ,WICHITA             ,KS,67218-2449,37.6721,-97.1548
ODESSA MO 269                 ,409 WEST OLD HWY 40           ,ODESSA              ,MO,64076-9673,39.00774516,-93.94874397
ASH FLAT AR 270               ,148 HWY 62/412                ,ASH FLAT            ,AR,72513-9563,36.2263,-91.6583
LAWTON OK 271                 ,110 SW SHERIDAN BOULEVARD     ,LAWTON              ,OK,73505-1517,34.6373,-98.4224
DUNCAN OK 272                 ,203 SOUTH 81 HIGHWAY          ,DUNCAN              ,OK,73533-2907,34.5053,-97.8659
WICHITA KS 273                ,3109 EAST PAWNEE              ,WICHITA             ,KS,67211-5605,37.6513,-97.4073
BELLEVUE NE  274              ,1812 GALVIN ROAD SOUTH        ,BELLEVUE            ,NE,68005-3813,41.14158258,-95.90939129
OMAHA NE 275                  ,4545 SOUTH 50TH               ,OMAHA               ,NE,68117-1304,41.21389775,-95.99066704
OMAHA NE 276                  ,3620 NORTH 72ND STREET        ,OMAHA               ,NE,68134-5104,41.2918538,-96.0244102
LINCOLN NE 277                ,120 O STREET                  ,LINCOLN             ,NE,68508-2320,40.8142656,-96.7190647
LINCOLN NE 278                ,1525 CORNHUSKER               ,LINCOLN             ,NE,68521-1843,40.84035359,-96.69952665
DES MOINES IA 279             ,2130 MARTIN LUTHER KING J     ,DES MOINES          ,IA,50314-1537,41.6083,-93.6439
DES MOINES IA 280             ,227 ARMY POST ROAD            ,DES MOINES          ,IA,50315-6244,41.5265195,-93.6182698
DES MOINES IA 281             ,2700 EAST UNIVERSITY AVE      ,DES MOINES          ,IA,50317-8232,41.6009225,-93.5647782
QUINCY IL 282                 ,1833 BROADWAY                 ,QUINCY              ,IL,62301-2840,39.93556735,-91.38621837
HUTCHINSON KS 283             ,831 EAST 4TH                  ,HUTCHINSON          ,KS,67501-2277,37.9028,-97.7858
HUTCHINSON KS 284             ,1101 EAST 30TH                ,HUTCHINSON          ,KS,67502-4228,37.7217,-98.0633
OSCEOLA IA 286                ,721 WEST MCLANE               ,OSCEOLA             ,IA,50213-1533,41.03067571,-93.77864126
SULPHUR OK 287                ,1715 WEST BROADWAY            ,SULPHUR             ,OK,73086-4245,34.5064,-96.98868571
OMAHA NE 288                  ,3310 SOUTH 24TH STREET        ,OMAHA               ,NE,68108-1827,41.2279107,-95.9476454
RICHMOND MO 289               ,613 EAST SOUTH STREET         ,RICHMOND            ,MO,64085-2173,39.2705,-93.965784
OMAHA NE 290                  ,4405 NORTH 30TH STREET        ,OMAHA               ,NE,68111-2456,41.2989147,-95.9563615
OMAHA NE 291                  ,10757 Q STREET                ,OMAHA               ,NE,68127-2931,41.2049868,-96.079618
COUNCIL BLUFFS IA 293         ,2826 WEST BROADWAY            ,COUNCIL BLUFFS      ,IA,51501-3412,41.2620555,-95.890118
URBANDALE IA 294              ,6740 DOUGLAS AVENUE           ,URBANDALE           ,IA,50322-3316,41.6289241,-93.7090088
ANKENY IA 295                 ,717 EAST 1ST STREET           ,ANKENY              ,IA,50021-2061,41.7313835,-93.5891779
PAPILLION NE 296              ,210 NORTH WASHINGTON ST       ,PAPILLION           ,NE,68046-2353,41.158311,-96.0435554
HIGGINSVILLE MO 297           ,2202 HIGHWAY 13 BLVD          ,HIGGINSVILLE        ,MO,64037-1457,38.5541,-93.7609
RED OAK IA 298                ,1610 BROADWAY                 ,RED OAK             ,IA,51566-1012,41.0524,-95.2098
CRESTON IA 299                ,404 WEST TAYLOR               ,CRESTON             ,IA,50801-3667,41.049,-94.35785
CLARINDA IA 300               ,1008 SOUTH 16TH STREET        ,CLARINDA            ,IA,51632-2932,40.7296,-95.0378
ATLANTIC IA 301               ,107 EAST 7TH STREET           ,ATLANTIC            ,IA,50022-1708,41.4040611,-95.0122356
SAVANNAH MO 302               ,101 S US HWY 71               ,SAVANNAH            ,MO,64485-1724,39.9392,-94.8217
KNOXVILLE IA 303              ,901 NORTH LINCOLN             ,KNOXVILLE           ,IA,50138-1429,41.0045,-93.3063
WICHITA KS 304                ,721 NORTH BROADWAY            ,WICHITA             ,KS,67214-3507,37.6825,-96.9623
OKLAHOMA CITY OK 305          ,12101 SOUTH WESTERN           ,OKLAHOMA CITY       ,OK,73170-5900,35.3476068,-97.5305139
OMAHA NE 306                  ,13345 Q STREET                ,OMAHA               ,NE,68137-3115,41.2047767,-96.1220831
OSKALOOSA IA 307              ,501 A AVENUE WEST             ,OSKALOOSA           ,IA,52577-2707,41.2964,-92.651
SPRINGDALE AR 308             ,3200 WEST SUNSET              ,SPRINGDALE          ,AR,72762-4948,36.0792,-94.181
MUSTANG OK 309                ,257 EAST STATE HWY 152        ,MUSTANG             ,OK,73064-4405,35.3688,-97.7466
DENISON TX 310                ,1010 SOUTH AUSTIN AVENUE      ,DENISON             ,TX,75020-4904,33.74609711,-96.5371
MADILL OK 311                 ,812 SOUTH 1ST STREET          ,MADILL              ,OK,73446-3840,34.08335266,-96.7684355
ALVA OK 312                   ,312 OKLAHOMA BOULEVARD        ,ALVA                ,OK,73717-2846,36.7979,-98.66256374
ELK CITY OK 313               ,1201 WEST 3RD STREET          ,ELK CITY            ,OK,73644-5105,35.4115,-99.4185
WOODWARD OK 314               ,2019 OKLAHOMA AVENUE          ,WOODWARD            ,OK,73801-4255,36.4336,-99.40509565
HOLDENVILLE OK 315            ,103 EAST HIGHWAY              ,HOLDENVILLE         ,OK,74848-4041,35.0789,-96.3616
OKLAHOMA CITY OK 316          ,10700 NORTH ROCKWELL AVE      ,OKLAHOMA CITY       ,OK,73162-4536,35.5782307,-97.6379619
TULSA OK 317                  ,4734 NORTH PEORIA             ,TULSA               ,OK,74126-3442,36.1015,-95.9757
JAY OK 318                    ,1108 SOUTH HWY 59             ,JAY                 ,OK,74346-0610,36.4179876,-94.80560805
WICHITA FALLS TX 319          ,3601 SHEPPARD ACCESS ROAD     ,WICHITA FALLS       ,TX,76306-4236,33.9583,-98.5142
WICHITA FALLS TX 320          ,2001 KEMP BLVD                ,WICHITA FALLS       ,TX,76309-3961,33.8941,-98.5252
BURKBURNETT TX 321            ,705 SHEPPARD ROAD             ,BURKBURNETT         ,TX,76354-2767,34.08493714,-98.5655329
ALTUS OK 322                  ,1020 NORTH MAIN               ,ALTUS               ,OK,73521-3120,34.62813229,-99.3343
GAINESVILLE TX 323            ,1321 NORTH GRAND              ,GAINESVILLE         ,TX,76240-2812,33.63891818,-97.1336
WICHITA FALLS TX 324          ,4114 OLD JACKSBORO HWY        ,WICHITA FALLS       ,TX,76302-2738,33.87147234,-98.4946
PLATTSMOUTH NE 325            ,302 CHICAGO AVENUE            ,PLATTSMOUTH         ,NE,68048-1867,41.0088598,-95.8893083
IOWA PARK TX 326              ,904 WEST HIGHWAY              ,IOWA PARK           ,TX,76367-1149,33.9733,-98.7211
FAIRVIEW OK 327               ,620 NORTH MAIN                ,FAIRVIEW            ,OK,73737-1216,36.26376842,-98.4801
CHOCTAW OK 328                ,14103 NE 23RD                 ,CHOCTAW             ,OK,73020-8599,35.4928816,-97.4637464
OSAGE BEACH MO 329            ,5970 OSAGE BEACH PARKWAY      ,OSAGE BEACH         ,MO,65065-3338,38.1496,-92.6239
DES MOINES IA 330             ,2927 SE 14TH STREET           ,DES MOINES          ,IA,50320-1122,41.5580496,-93.5967612
GRINNELL IA 331               ,633 WEST STREET               ,GRINNELL            ,IA,50112-2241,41.7189572,-92.9107356
