"Store Nbr","Mod Footage","Store Name","Store Type","Building Address","Building City","Building State/Prov","Building Postal Code"
"526","12","LOUISVILLE (NE), KY","Supercenter","3706 DIANN MARIE RD","LOUISVILLE","KY","40241"
"528","12","BRADENTON, FL","Supercenter","2911 53RD AVE E","BRADEN RIVER","FL","34203"
"530","12","EL DORADO, AR","Supercenter","2730 N WEST AVE","EL DORADO","AR","71730"
"531","12","LAFAYETTE LA (W)","Supercenter","3142 AMBASSADOR CAFFERY PKWY","LAFAYETTE","LA","70506"
"532","12","GONZALES LA","Supercenter","308 N AIRLINE HWY","GONZALES","LA","70737"
"533","12","NEW IBERIA LA","Supercenter","1205 E ADMIRAL DOYLE DR","NEW IBERIA","LA","70560"
"534","12","LAFAYETTE LA (N)","Supercenter","1229 NE EVANGELINE TRWY","LAFAYETTE","LA","70501"
"535","12","ABILENE TX (S)","Supercenter","4350 SOUTHWEST DR","ABILENE","TX","79606"
"537","12","ODESSA TX","Supercenter","4210 JOHN BEN SHEPHE","ODESSA","TX","79762"
"538","12","GAINESVILLE FL","Supercenter","5700 NW 23RD ST","GAINESVILLE","FL","32653"
"540","12","BAYOU VISTA,LA","Supercenter","973 HIGHWAY 90 E","MORGAN CITY","LA","70380"
"542","12","HOUMA LA","Supercenter","1633 MARTIN LUTHER KING JR BLV","HOUMA","LA","70360"
"543","12","OPELOUSAS LA","Supercenter","1629 E CRESSWELL LN","OPELOUSAS","LA","70570"
"544","12","DEL CITY (MWC), OK","Supercenter","5401 TINKER DIAGONAL ST","OKLAHOMA CITY","OK","73115"
"546","12","RICHMOND, TX","Supercenter","5330 FM1640","RICHMOND","TX","77469"
"547","12","PLANT CITY, FL","Supercenter","2602 JAMES L REDMAN PKWY","PLANT CITY","FL","33566"
"548","12","LAWRENCEVILLE GA","Supercenter","630 COLLINS HILL RD","LAWRENCEVILLE","GA","30046"
"549","12","HOBBS NM","Supercenter","3800 N LOVINGTON HWY","HOBBS","NM","88240"
"551","12","PALATKA FL","Supercenter","1024 S STATE ROAD 19","PALATKA","FL","32177"
"554","12","LAREDO TX","Wal-Mart","5610 SAN BERNARDO AVE","LAREDO","TX","78041"
"555","12","DUBLIN GA","Supercenter","2423 US HIGHWAY 80 W","DUBLIN","GA","31021"
"556","12","WAYCROSS GA","Supercenter","2425 MEMORIAL DR","WAYCROSS","GA","31503"
"558","12","SALINA KS","Supercenter","2900 S 9TH ST","SALINA","KS","67401"
"559","12","MUSCATINE IA","Supercenter","3003 N HIGHWAY 61","MUSCATINE","IA","52761"
"560","12","ST JOSEPH MO","Supercenter","4201 N BELT HWY","SAINT JOSEPH","MO","64506"
"562","12","LEEDS AL","Supercenter","8551 WHITFIELD AVE","LEEDS","AL","35094"
"564","12","OKLAHOMA CITY(W), OK","Supercenter","6100 W RENO AVE","OKLAHOMA CITY","OK","73127"
"565","12","CORSICANA TX","Supercenter","3801 W STATE HIGHWAY 31","CORSICANA","TX","75110"
"571","12","GEORGETOWN KY","Supercenter","112 OSBOURNE WAY","GEORGETOWN","KY","40324"
"572","12","KILGORE TX","Supercenter","1201 STONE ST","KILGORE","TX","75662"
"573","12","LEE'S SUMMIT MO","Supercenter","1000 NE SAM WALTON LN","LEES SUMMIT","MO","64086"
"576","12","TULSA OK","Supercenter","207 S MEMORIAL DR","TULSA","OK","74112"
